from_type;from_id;from_name;line_id;line_name;to_type;to_id;to_name;position_average;position;position_max;equipment_type
stop_point;490848;Maison Blanche;C01384;14;access_point;50149931;r. de la Vistule;Milieu;5;8;Escalator
stop_point;490848;Maison Blanche;C01384;14;access_point;50149931;r. de la Vistule;Arrière;6;8;Escalier
stop_point;490837;L'Haÿ-les-Roses;C01384;14;access_point;50149935;r. de Bicêtre;Arrière;7;8;Ascenseur
stop_point;490789;Montreuil - Hôpital;C01381;11;access_point;50210358;bd de la Boissière;Avant;2;5;Ascenseur
stop_point;473923;Charles de Gaulle - Etoile;C01742;A;stop_point;22094;Charles de Gaulle-Etoile;Avant;4;10;
stop_point;474001;Val de Fontenay;C01742;A;stop_point;41019;Val de Fontenay;Avant;4;10;
stop_point;473934;La Défense;C01742;A;stop_point;463193;La Défense (Grande Arche);Arrière;8;10;Ascenseur
stop_point;474023;Rueil-Malmaison;C01742;A;access_point;50148536;Centre Commercial;Avant;1;10;
stop_point;474053;Nanterre Université;C01742;A;access_point;50148543;Boulevard des Provinces Françaises;Avant;4;10;
stop_point;474047;Nanterre Université;C01742;A;access_point;50148544;Rue de la Folie;Avant;1;10;
stop_point;473924;Auber;C01742;A;access_point;50148556;Rue des Mathurins;Avant;4;10;
stop_point;473984;Boissy-Saint-Léger;C01742;A;access_point;50148589;Place de la Gare;Avant;1;10;
stop_point;473907;Luxembourg;C01743;B;access_point;50148610;Rue de l'Abbé de l'Epée;Avant;1;8;
stop_point;474030;Palaiseau - Villebon;C01743;B;access_point;50148640;Boulevard Nicolas Samson;Avant;1;8;
stop_point;473942;La Hacquinière;C01743;B;access_point;50148645;25 rue de la Hacquinière;Avant;1;8;
stop_point;474002;Val de Fontenay;C01742;A;access_point;50148705;Avenue du Val de Fontenay;Arrière;8;10;
stop_point;473940;La Hacquinière;C01743;B;access_point;50148789;Avenue des Tilleuls;Arrière;8;8;
stop_point;473902;Le Guichet;C01743;B;access_point;50148792;Rue Charles de Gaulle;Avant;1;8;
stop_point;474017;Saint-Germain-en-Laye;C01742;A;access_point;50148870;Rue de la Salle;Avant;4;10;
stop_point;22218;Gare Saint-Lazare;C01383;13;access_point;50147867;Place Gabriel Péri;Arrière;5;5;
stop_point;462972;Gare Saint-Lazare;C01384;14;access_point;50147870;Gare SNCF;Milieu;4;8;Ascenseur
stop_point;463240;Monceau;C01372;2;access_point;50147937;1 Place de la République Dominicaine;Avant;1;5;
stop_point;463217;Les Sablons;C01371;1;access_point;50147962;70 avenue Charles de Gaulle;Avant;1;6;
stop_point;463010;Champs-Élysées - Clemenceau;C01371;1;access_point;50147971;Clémenceau (place);Avant;1;6;
stop_point;463099;Dupleix;C01376;6;access_point;50148028;Boulevard de Grenelle;Arrière;5;5;
stop_point;22184;Daumesnil;C01378;8;access_point;50148045;6 Place Félix Eboué;Arrière;5;5;
stop_point;463067;Nation;C01372;2;access_point;50148054;Place de la Nation;Arrière;5;5;
stop_point;24683;Buttes Chaumont;C01387;7B;access_point;50148059;28 rue Botzaris;Avant;1;3;Ascenseur
stop_point;22395;La Courneuve - 8 Mai 1945;C01377;7;access_point;50148063;54 avenue Jean Jaurès;Avant;2;5;
stop_point;22218;Gare Saint-Lazare;C01383;13;stop_point;21911;Saint-Augustin;Arrière;5;5;
stop_point;462957;Miromesnil;C01379;9;stop_point;21924;Miromesnil;Arrière;5;5;
stop_point;463074;Jaurès;C01387;7B;stop_point;21952;Jaurès;Arrière;2;3;
stop_point;463064;Madeleine;C01384;14;stop_point;21965;Madeleine;Avant;3;8;Escalator
stop_point;21959;Châtelet;C01384;14;stop_point;21966;Châtelet;Avant;3;8;
stop_point;22183;La Motte-Picquet - Grenelle;C01378;8;stop_point;21969;La Motte-Picquet-Grenelle;Arrière;5;5;
stop_point;462995;Odéon;C01374;4;stop_point;21978;Odéon;Arrière;6;6;Escalator
stop_point;463111;Belleville;C01372;2;stop_point;21998;Belleville;Milieu;3;5;
stop_point;22107;Stalingrad;C01372;2;stop_point;22001;Stalingrad;Avant;1;5;
stop_point;21919;Nation;C01379;9;stop_point;22072;Nation;Milieu;3;5;
stop_point;22115;Place de Clichy;C01372;2;stop_point;22129;Place de Clichy;Arrière;5;5;
stop_point;463182;Gare du Nord;C01375;5;stop_point;22149;Gare du Nord;Avant;1;5;
stop_point;463079;Châtelet;C01381;11;stop_point;22364;Châtelet;Arrière;4;5;
stop_point;462970;Gare Saint-Lazare;C01383;13;stop_point;41127;Haussmann Saint-Lazare;Milieu;3;5;
stop_point;462960;République;C01381;11;stop_point;462946;République;Arrière;4;5;
stop_point;22038;Gare Montparnasse;C01382;12;stop_point;462955;Montparnasse-Bienvenue;Milieu;3;5;
stop_point;462969;Gare Saint-Lazare;C01382;12;stop_point;462972;Saint-Lazare;Arrière;5;5;
stop_point;463022;Gare de l'Est;C01374;4;stop_point;463001;Gare de l'Est (Verdun);Arrière;6;6;
stop_point;22196;Richelieu - Drouot;C01378;8;stop_point;463036;Richelieu-Drouot;Avant;1;5;
stop_point;21958;Gare de Lyon;C01384;14;stop_point;463197;Gare de Lyon;Avant;1;8;Escalator
stop_point;463252;Place de Clichy;C01372;2;stop_point;463253;Place de Clichy;Avant;1;5;
stop_point;463060;Châtelet;C01377;7;stop_point;473989;Châtelet - Les Halles;Arrière;5;5;
stop_point;21959;Châtelet;C01384;14;access_point;50147791;63 - 65 rue de Rivoli;Avant;3;8;Escalator
stop_point;463060;Châtelet;C01377;7;access_point;50147793;8 place Sainte-Opportune;Arrière;5;5;
stop_point;21959;Châtelet;C01384;14;access_point;50147795;112 rue deRivoli;Avant;2;8;
stop_point;22087;Châtelet;C01371;1;access_point;50147796;Rue des Lavandières;Avant;2;6;
stop_point;22137;Saint-Michel Notre-Dame;C01374;4;access_point;50147811;Place Saint-Michel;Arrière;6;6;
stop_point;463072;Réaumur - Sébastopol;C01374;4;access_point;50147818;68 rue Réaumur;Avant;1;6;
stop_point;21963;Gare Saint-Lazare;C01373;3;access_point;50147867;Place Gabriel Péri;Arrière;5;5;
stop_point;21948;Pelleport;C01386;3B;access_point;50147877;Paul Signac (place, en face du 125 avenue Gambetta);Arrière;3;3;
stop_point;22023;Porte de Champerret;C01373;3;access_point;50147886;Avenue Stéphane Mallarmé;Avant;1;5;
stop_point;463297;Rue Saint-Maur;C01373;3;access_point;50147888;71 rue Servan;Avant;1;5;
stop_point;22022;Porte de Bagnolet;C01373;3;access_point;50147901;Boulevard Davout;Avant;1;5;
stop_point;463074;Jaurès;C01387;7B;access_point;50147954;Face au 196 boulevard de la Villette;Avant;1;3;
stop_point;463043;Charles de Gaulle - Etoile;C01372;2;access_point;50147976;Place Charles de Gaulle;Avant;1;5;
stop_point;463046;Gare de Lyon;C01384;14;access_point;50147982;Rue de Bercy;Avant;1;8;Escalator
stop_point;22104;Château de Vincennes;C01371;1;access_point;50147999;14 avenue de Paris;Arrière;6;6;
stop_point;22103;Saint-Mandé;C01371;1;access_point;50148005;113 avenue de Paris;Avant;1;6;
stop_point;22103;Saint-Mandé;C01371;1;access_point;50148006;125 bis avenue de Paris;Milieu;3;6;Escalator
stop_point;463025;Place d'Italie;C01375;5;access_point;50148016;182 boulevard Vincent Auriol;Avant;1;5;
stop_point;22072;Nation;C01372;2;access_point;50148054;Place de la Nation;Avant;1;5;
stop_point;24687;Danube;C01387;7B;access_point;50148057;9 place Rhin et Danube;Avant;1;3;
stop_point;463031;Aubervilliers-Pantin Quatre Chemins;C01377;7;access_point;50148072;144 avenue de la République;Milieu;3;5;Escalator
stop_point;22391;Censier - Daubenton;C01377;7;access_point;50148118;100 rue Monge;Avant;1;5;
stop_point;463323;Villejuif Léo Lagrange;C01377;7;access_point;50148146;53 avenue de Paris;Arrière;4;5;
stop_point;463198;Invalides;C01383;13;access_point;50148172;Rue de l' Université;Avant;1;5;
stop_point;22085;Concorde;C01371;1;access_point;50148174;258 rue de Rivoli;Arrière;6;6;
stop_point;463277;Porte de Charenton;C01378;8;access_point;50148213;25 Boulevard Poniatowsky;Avant;1;5;
stop_point;21938;Pont de Sèvres;C01379;9;access_point;50148235;122 avenue du Général Leclerc;Avant;1;5;
stop_point;463180;Franklin D. Roosevelt;C01379;9;access_point;50148281;Palais de la Découverte;Avant;1;5;
stop_point;474397;Miromesnil;C01383;13;access_point;50148287;29 rue de la Boétie;Avant;1;5;Escalator
stop_point;463037;Richelieu - Drouot;C01378;8;access_point;50148296;16 boulevard des Italiens;Arrière;5;5;
stop_point;463279;Porte de Montreuil;C01379;9;access_point;50148335;1 avenue de la Porte de Montreuil;Arrière;5;5;
stop_point;21988;Boulogne Jean Jaurès;C01380;10;access_point;50148381;23 bis Boulevard Jean Jaurès;Avant;1;5;
stop_point;21903;République;C01375;5;access_point;50148406;1 rue René Boulanger;Arrière;5;5;
stop_point;21937;République;C01381;11;access_point;50148407;13 place de la République;Avant;2;5;
stop_point;22128;Belleville;C01372;2;access_point;50148415;2 boulevard de la Villette;Arrière;5;5;
stop_point;22042;Porte de Versailles;C01382;12;access_point;50148427;407 rue de Vaugirard;Avant;2;5;
stop_point;462972;Gare Saint-Lazare;C01384;14;access_point;50148490;Galeries marchandes - Gare Saint-Lazare;Avant;2;8;
stop_point;21963;Gare Saint-Lazare;C01373;3;access_point;50148492;11-13 place du Havre;Arrière;4;5;
stop_point;462972;Gare Saint-Lazare;C01384;14;access_point;50148494;95 rue Saint-Lazare;Milieu;4;8;Ascenseur
stop_point;22244;Garibaldi;C01383;13;access_point;50148505;Avenue Gabriel Péri;Avant;1;5;
stop_point;22238;Mairie de Clichy;C01383;13;access_point;50148517;Hôpital Gouin;Arrière;4;5;
stop_point;463013;Charles de Gaulle - Etoile;C01371;1;access_point;50148550;1 avenue de la Grande Armée;Avant;1;6;
stop_point;22094;Charles de Gaulle - Etoile;C01372;2;access_point;50148551;Avenue Foch;Avant;1;5;
stop_point;463197;Gare de Lyon;C01371;1;access_point;50148562;Rue de Bercy;Milieu;4;6;
stop_point;21958;Gare de Lyon;C01384;14;access_point;50148567;Chalon (rue, vers la rue Chalon : Salle T.G.V.);Milieu;5;8;Ascenseur
stop_point;21919;Nation;C01379;9;access_point;50148569;Terre-plein face au 3 place de la Nation;Arrière;5;5;
stop_point;480286;Pont Cardinet;C01384;14;access_point;50148654;Rue Cardinet;Avant;2;8;Ascenseur
stop_point;22083;Gare de Lyon;C01371;1;access_point;50148698;Face au 201 rue de Bercy;Milieu;3;6;
stop_point;463126;Basilique de Saint-Denis;C01383;13;access_point;50148704;Basilique;Arrière;4;5;
stop_point;21993;Télégraphe;C01381;11;access_point;50148711;Rue de Belleville;Arrière;5;5;
stop_point;462962;République;C01378;8;access_point;50148716;2 place de la République;Avant;1;5;
stop_point;21918;République;C01379;9;access_point;50148717;Av de la République;Avant;1;5;
stop_point;462962;République;C01378;8;access_point;50148718;12 place de la République;Milieu;3;5;
stop_point;462946;République;C01373;3;access_point;50148721;13 place de  la République;Milieu;3;5;
stop_point;463207;Les Agnettes;C01383;13;access_point;50148727;Angle rue des Bas et Rue Louis Calmel;Arrière;4;5;Escalator
stop_point;22188;Boucicaut;C01378;8;access_point;50148759;Rue Félix Faure;Avant;1;5;
stop_point;463138;Bréguet-Sabin;C01375;5;access_point;50148761;Boulevard Richard Lenoir;Arrière;5;5;
stop_point;463170;Esplanade de la Défense;C01371;1;access_point;50148776;Quartier Saisons;Milieu;3;6;
stop_point;463001;Gare de l'Est;C01377;7;access_point;50148780;Place du 11 Novembre;Avant;1;5;
stop_point;463074;Jaurès;C01387;7B;access_point;50148784;Boulevard de la Villette;Avant;1;3;
stop_point;22118;Jaurès;C01372;2;access_point;50148785;Boulevard de la Villette;Avant;1;5;
stop_point;22119;La Chapelle;C01372;2;access_point;50148787;Rue du Faubourg Saint Denis;Arrière;5;5;
stop_point;22183;La Motte-Picquet - Grenelle;C01378;8;access_point;50148790;Boulevard de Grenelle;Arrière;5;5;
stop_point;22183;La Motte-Picquet - Grenelle;C01378;8;access_point;50148791;Avenue de Suffren;Avant;1;5;
stop_point;22377;Poissonnière;C01377;7;access_point;50148814;Rue de Chabrol;Arrière;5;5;
stop_point;22242;Saint-Denis - Université;C01383;13;access_point;50148862;Gare Routière;Arrière;4;5;Ascenseur
stop_point;22242;Saint-Denis - Université;C01383;13;access_point;50148862;Gare Routière;Avant;2;5;
stop_point;463269;Villejuif - Louis Aragon;C01377;7;access_point;50148863;Avenue Louis Aragon;Milieu;3;5;
stop_point;21957;Bercy;C01384;14;access_point;50148882;Rue Paul Belmondo;Arrière;7;8;Escalator
stop_point;480290;Mairie de Saint-Ouen;C01384;14;access_point;50148888;Rue Albert Dhalenne;Milieu;4;8;
stop_point;463080;Hôtel de Ville;C01371;1;access_point;50148893;Rue du Temple;Arrière;6;6;Escalator
stop_point;22219;Porte de Clichy;C01383;13;access_point;50148895;Rue André Suarez;Avant;2;5;
stop_point;480541;Porte de Clichy;C01384;14;access_point;50148895;Rue André Suarez;Arrière;8;8;Escalator
stop_point;480531;Porte de Clichy;C01384;14;access_point;50148897;av de Clichy;Arrière;6;8;Escalator
stop_point;463030;Porte de Choisy;C01377;7;access_point;50148959;Bd Masséna;Arrière;5;5;
stop_point;22373;Porte de Choisy;C01377;7;access_point;50148960;Bd Masséna;Avant;1;5;
stop_point;483903;Aimé Césaire;C01382;12;access_point;50149326;rue de la Commune;Milieu;3;5;Ascenseur
stop_point;483900;Aimé Césaire;C01382;12;access_point;50149328;rue de la Commune;Milieu;3;5;Ascenseur
stop_point;490762;Serge Gainsbourg;C01381;11;access_point;50149886;r. de la Liberté;Arrière;5;5;Escalier
stop_point;490788;Romainville - Carnot;C01381;11;access_point;50149890;r. Carnot;Arrière;5;5;Escalier
stop_point;490791;La Dhuys;C01381;11;access_point;50149894;r. Lucien Piron;Avant;2;5;Ascenseur
stop_point;490848;Maison Blanche;C01384;14;access_point;50149928;av. d'Italie;Arrière;7;8;Escalier
stop_point;490835;Chevilly-Larue? (Marché International?);C01384;14;access_point;50149937;r. Latérale;Milieu;5;8;Ascenseur
stop_point;490774;Saint-Denis - Pleyel;C01384;14;access_point;50149985;27 rue Pleyel;Milieu;5;8;Ascenseur
stop_point;490789;Montreuil - Hôpital;C01381;11;access_point;50210359;bd de la Boissière;Avant;2;5;Ascenseur
stop_point;473920;Nation;C01742;A;stop_point;22073;Nation;Avant;4;10;
stop_point;473919;Nation;C01742;A;stop_point;22080;Nation;Avant;4;10;
stop_point;473989;Châtelet les Halles;C01374;4;stop_point;463060;Châtelet;Milieu;4;6;
stop_point;473925;Auber;C01742;A;stop_point;463245;Opéra;Avant;1;10;
stop_point;474023;Rueil-Malmaison;C01742;A;access_point;50148537;Avenue de Colmar;Avant;1;10;
stop_point;473937;La Défense;C01742;A;access_point;50148548;Parvis;Avant;1;10;
stop_point;474024;Robinson;C01743;B;access_point;50148627;Avenue Jules Guesde;Avant;1;8;
stop_point;473947;La Croix de Berny;C01743;B;access_point;50148629;11 rue Velpeau;Arrière;8;8;
stop_point;473904;Orsay Ville;C01743;B;access_point;50148643;Centre Hospitalier d'Orsay;Arrière;8;8;
stop_point;473931;Lozère;C01743;B;access_point;50148865;Place de la Gare;Arrière;8;8;
stop_point;462963;République;C01379;9;stop_point;21903;République;Arrière;5;5;
stop_point;21904;Michel-Ange - Molitor;C01380;10;stop_point;21923;Michel-Ange-Molitor;Avant;1;5;
stop_point;21911;Saint-Augustin;C01379;9;stop_point;21962;Saint-Lazare;Avant;1;5;
stop_point;463063;Madeleine;C01378;8;stop_point;21965;Madeleine;Avant;1;5;
stop_point;463024;Gare d'Austerlitz;C01380;10;stop_point;21981;Gare d'Austerlitz;Arrière;5;5;
stop_point;463183;Gare du Nord;C01374;4;stop_point;22007;Gare du Nord;Milieu;3;6;
stop_point;21958;Gare de Lyon;C01384;14;stop_point;22083;Gare de Lyon;Avant;1;8;
stop_point;22020;Père Lachaise;C01373;3;stop_point;22112;Père-Lachaise;Avant;1;5;
stop_point;22157;Gare Montparnasse;C01383;13;stop_point;22156;Montparnasse-Bienvenue;Arrière;5;5;
stop_point;462954;Gare Montparnasse;C01383;13;stop_point;22156;Montparnasse-Bienvenue;Avant;1;5;
stop_point;463199;Invalides;C01378;8;stop_point;22185;Invalides;Avant;1;5;
